# Final Radiant standalone extraction inventory for OPT-269.
#
# This inventory classifies every current Rust source, test, or example file
# under this crate that still contains Sempal-domain terminology. It is not the
# active backlog; Linear is. The issue column points at the implementation
# ticket that owns the final disposition.
#
# Columns:
# - pattern: exact path under the Radiant crate, or a directory prefix ending in /**
# - disposition: move_to_sempal, generalize_in_radiant, remove_compat_export,
#   split_generic_from_compat, or generic_wording_cleanup
# - issue: Linear issue that owns the final disposition
# - notes: short rationale without tabs
pattern	disposition	issue	notes
src/app/**	move_to_sempal	OPT-270	Sempal model action hotkey automation and DTO contracts must move to Sempal.
src/compat.rs	remove_compat_export	OPT-276	Compatibility namespace is transitional and should disappear after Sempal owns the shell contract.
src/lib.rs	remove_compat_export	OPT-276	Crate-root docs and deprecated app export still mention the Sempal compatibility path.
src/gui/mod.rs	remove_compat_export	OPT-276	Module docs still expose native_shell as Sempal compatibility infrastructure.
src/gui/layout_core/engine/context/accessors.rs	generic_wording_cleanup	OPT-276	Generic layout implementation contains source wording that should be reviewed during final terminology cleanup.
src/gui/layout_core/engine/context/mod.rs	generic_wording_cleanup	OPT-276	Generic layout implementation contains source wording that should be reviewed during final terminology cleanup.
src/gui/layout_core/engine/contract_tests.rs	generic_wording_cleanup	OPT-276	Generic layout tests contain collection/source terminology caught by the domain scan.
src/gui/layout_core/engine/dirty.rs	generic_wording_cleanup	OPT-276	Generic layout dirty tracking contains collection terminology caught by the domain scan.
src/gui/layout_core/engine/layout/scroll.rs	generic_wording_cleanup	OPT-276	Generic scroll layout contains source wording that should be reviewed during final terminology cleanup.
src/gui/layout_core/engine/layout/scroll_linear.rs	generic_wording_cleanup	OPT-276	Generic scroll layout contains source wording that should be reviewed during final terminology cleanup.
src/gui/layout_core/engine/mod.rs	generic_wording_cleanup	OPT-276	Generic layout engine contains generic tag helper names and one-shot wording caught by the domain scan.
src/gui/layout_core/engine/types.rs	generic_wording_cleanup	OPT-276	Generic layout types contain collection terminology caught by the domain scan.
src/gui/layout_core/model.rs	generic_wording_cleanup	OPT-276	Generic layout model contains percentage wording caught by the domain scan.
src/gui/retained.rs	generic_wording_cleanup	OPT-276	Generic retained storage uses Rust slice terminology caught by the domain scan.
src/gui/native_shell/**	split_generic_from_compat	OPT-275	Native-shell compatibility tree must split generic primitives from Sempal shell composition and move/delete the rest.
src/gui_runtime/mod.rs	split_generic_from_compat	OPT-275	Runtime facade still documents and exports Sempal compatibility entrypoints.
src/gui_runtime/native_vello.rs	split_generic_from_compat	OPT-275	Native Vello facade still mixes generic and Sempal compatibility runtime entrypoints.
src/gui_runtime/native_vello/**	split_generic_from_compat	OPT-275	Native Vello tree mixes generic runtime support with Sempal shell input render startup and test glue.
tests/compat_sempal_shell_public_api.rs	remove_compat_export	OPT-276	Compat public API coverage should be removed once the namespace disappears.
tests/compat_status_bar_pilot.rs	move_to_sempal	OPT-275	Sempal status-bar compatibility coverage belongs in Sempal-owned tests after shell relocation.
